x,y,numerical,exact
0.100000000000,0.100000000000,0.010445571260,0.010999833334
0.200000000000,0.100000000000,0.012949277682,0.013999833334
0.300000000000,0.100000000000,0.017557737749,0.018999833334
0.400000000000,0.100000000000,0.024307318707,0.025999833334
0.500000000000,0.100000000000,0.033221142069,0.034999833334
0.600000000000,0.100000000000,0.044307162872,0.045999833334
0.700000000000,0.100000000000,0.057557485603,0.058999833334
0.800000000000,0.100000000000,0.072949025536,0.073999833334
0.900000000000,0.100000000000,0.090445415426,0.090999833334
0.100000000000,0.200000000000,0.040923831058,0.041989334187
0.200000000000,0.200000000000,0.045972831783,0.047989334187
0.300000000000,0.200000000000,0.055223827316,0.057989334187
0.400000000000,0.200000000000,0.068745210035,0.071989334187
0.500000000000,0.200000000000,0.086580568325,0.089989334187
0.600000000000,0.200000000000,0.108744913511,0.111989334187
0.700000000000,0.200000000000,0.135223347530,0.137989334187
0.800000000000,0.200000000000,0.165972351997,0.167989334187
0.900000000000,0.200000000000,0.200923534534,0.201989334187
0.100000000000,0.300000000000,0.091388225325,0.092878549198
0.200000000000,0.300000000000,0.099063921157,0.101878549198
0.300000000000,0.300000000000,0.113023528617,0.116878549198
0.400000000000,0.300000000000,0.133359636896,0.137878549198
0.500000000000,0.300000000000,0.160131404568,0.164878549198
0.600000000000,0.300000000000,0.193359228533,0.197878549198
0.700000000000,0.300000000000,0.233022867872,0.236878549198
0.800000000000,0.300000000000,0.279063260412,0.281878549198
0.900000000000,0.300000000000,0.331387816962,0.332878549198
0.100000000000,0.400000000000,0.161528091457,0.163318206614
0.200000000000,0.400000000000,0.171946499844,0.175318206614
0.300000000000,0.400000000000,0.190708187811,0.195318206614
0.400000000000,0.400000000000,0.217919505849,0.223318206614
0.500000000000,0.400000000000,0.253648607556,0.259318206614
0.600000000000,0.400000000000,0.297919025444,0.303318206614
0.700000000000,0.400000000000,0.350707410500,0.355318206614
0.800000000000,0.400000000000,0.411945722533,0.415318206614
0.900000000000,0.400000000000,0.481527611053,0.483318206614
0.100000000000,0.500000000000,0.250469348172,0.252403959255
0.200000000000,0.500000000000,0.263772870700,0.267403959255
0.300000000000,0.500000000000,0.287450537789,0.292403959255
0.400000000000,0.500000000000,0.321610460937,0.327403959255
0.500000000000,0.500000000000,0.366322238223,0.372403959255
0.600000000000,0.500000000000,0.421609955408,0.427403959255
0.700000000000,0.500000000000,0.487449719826,0.492403959255
0.800000000000,0.500000000000,0.563772052736,0.567403959255
0.900000000000,0.500000000000,0.650468842642,0.652403959255
0.100000000000,0.600000000000,0.356370232289,0.358274233275
0.200000000000,0.600000000000,0.372717274670,0.376274233275
0.300000000000,0.600000000000,0.401436472291,0.406274233275
0.400000000000,0.600000000000,0.442625450795,0.448274233275
0.500000000000,0.600000000000,0.496347606016,0.502274233275
0.600000000000,0.600000000000,0.562624969625,0.568274233275
0.700000000000,0.600000000000,0.641435693743,0.646274233275
0.800000000000,0.600000000000,0.732716496122,0.736274233275
0.900000000000,0.600000000000,0.836369751119,0.838274233275
0.100000000000,0.700000000000,0.475936146402,0.477625888171
0.200000000000,0.700000000000,0.495489518129,0.498625888171
0.300000000000,0.700000000000,0.529377448940,0.533625888171
0.400000000000,0.700000000000,0.577676259680,0.582625888171
0.500000000000,0.700000000000,0.640436487617,0.645625888171
0.600000000000,0.700000000000,0.717675850079,0.722625888171
0.700000000000,0.700000000000,0.809376786192,0.813625888171
0.800000000000,0.700000000000,0.915488855382,0.918625888171
0.900000000000,0.700000000000,1.035935736802,1.037625888171
0.100000000000,0.800000000000,0.603901380510,0.605195441362
0.200000000000,0.800000000000,0.626816127935,0.629195441362
0.300000000000,0.800000000000,0.665990744871,0.669195441362
0.400000000000,0.800000000000,0.721473084848,0.725195441362
0.500000000000,0.800000000000,0.793296463122,0.797195441362
0.600000000000,0.800000000000,0.881472787086,0.885195441362
0.700000000000,0.800000000000,0.985990263082,0.989195441362
0.800000000000,0.800000000000,1.106815646147,1.109195441362
0.900000000000,0.800000000000,1.243901082749,1.245195441362
0.100000000000,0.900000000000,0.732559727377,0.733287174370
0.200000000000,0.900000000000,0.758970007360,0.760287174370
0.300000000000,0.900000000000,0.803527743181,0.805287174370
0.400000000000,0.900000000000,0.866252020252,0.868287174370
0.500000000000,0.900000000000,0.947158159779,0.949287174370
0.600000000000,0.900000000000,1.046251863653,1.048287174370
0.700000000000,0.900000000000,1.163527489797,1.165287174370
0.800000000000,0.900000000000,1.298969753977,1.300287174370
0.900000000000,0.900000000000,1.452559570778,1.453287174370
